RL Values,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00,67.00,68.00,69.00,70.00,71.00,72.00,73.00,74.00,75.00,76.00,77.00,78.00,79.00,80.00,81.00,82.00,83.00,84.00,85.00,86.00,87.00,88.00,89.00,90.00,91.00,92.00,93.00,94.00,95.00,96.00,97.00,98.00,99.00,100.00
Power(W),0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.07,0.08,0.10,0.12,0.14,0.17,0.20,0.23,0.26,0.30,0.35,0.39,0.44,0.49,0.55,0.61,0.67,0.73,0.80,0.87,0.94,1.02,1.10,1.18,1.26,1.34,1.42,1.51,1.59,1.68,1.77,1.86,1.95,2.04,2.12,2.21,2.30,2.39,2.48,2.57,2.66,2.74,2.83,2.91,3.00,3.08,3.17,3.25,3.33,3.41,3.49,3.57,3.64,3.72,3.79,3.87,3.94,4.01,4.07,4.14,4.21,4.27,4.33,4.39,4.45,4.50,4.55,4.60,4.65,4.70,4.74,4.79,4.83,4.87,4.90,4.94,4.97,5.00,5.03,5.06,5.09,5.11,5.14,5.16,5.19,5.21,5.22,5.24
Power($),N/a,0.00,0.00,0.00,0.11,0.19,0.28,0.39,0.51,0.65,0.83,1.03,1.28,1.56,1.90,2.28,2.72,3.21,3.76,4.38,5.05,5.80,6.60,7.48,8.41,9.41,10.47,11.60,12.78,14.01,15.30,16.64,18.03,19.46,20.94,22.45,23.99,25.56,27.16,28.79,30.43,32.09,33.77,35.45,37.14,38.84,40.54,42.24,43.94,45.63,47.32,49.00,50.67,52.33,53.98,55.62,57.24,58.84,60.43,62.00,63.55,65.08,66.59,68.08,69.54,70.98,72.39,73.78,75.14,76.47,77.76,79.03,80.26,81.46,82.62,83.74,84.83,85.88,86.89,87.86,88.79,89.68,90.53,91.34,92.11,92.85,93.55,94.21,94.85,95.45,96.03,96.58,97.11,97.61,98.08,98.53,98.96,99.35,99.70,100.00
